,Site,Meand13C,SDd13C,Meand15N,SDd15N,n
Terrestrial Shrub,1,-29.3,0.65,0.6,1.58,4
Terrestrial Shrub,2,-28.4,0.77,3.1,2.25,3
Terrestrial Shrub,3,-28.7,0.49,2.7,0.2,3
Terrestrial Shrub,4,-28.8,0.69,6.6,1.5,3
Terrestrial Shrub,5,-27.9,1.49,5.8,0.91,4
Biofilm,1,-14.6,0.23,2.5,0.38,6
Biofilm,2,-15.7,4.84,3.7,1.95,9
Biofilm,3,-8.8,2.62,4,1.85,7
Biofilm,4,-22,6.65,8,2.23,6
Biofilm,5,-26,0.39,0.9,4.52,6
