Site,Latitude,Longitude
Cochrane,51.185777,-114.4908
Sunalta,51.047083,-114.112
Cushing Bridge ,51.03899,-114.01
Graves Bridge,50.98931,-114.022
Policeman Flats,50.845144,-113.946021
