SampleName,Stage,Stage_plot,Site,Site_Code,Taxa,Taxa_Specific,FFG,Consumer,Mass,Date,d13C,d15N,%C,%N,C/N
CUSHBR_Ad_Hydro_SI_2,Aquatic adult,Aquatic adult,Cushing Bridge,CUSHBR,Hydropsychidae,Hydropsychidae Adult,Filterer-Collector,Primary Consumer,1.004,01-Mar-23,-28.7,8.5,54.3,11,4.9
CUSHBR_Ad_Hydro_SI_3,Aquatic adult,Aquatic adult,Cushing Bridge,CUSHBR,Hydropsychidae,Hydropsychidae Adult,Filterer-Collector,Primary Consumer,1.032,01-Mar-23,-27.5,10.1,53.1,12.5,4.2
CUSHBR_Ad_Lepto_SI_1,Aquatic adult,Aquatic adult,Cushing Bridge,CUSHBR,Leptoceridae,Leptoceridae Adult,Gatherer-Collector,Primary Consumer,1.136,28-Feb-23,-26,8.3,52.8,11.6,4.5
CUSHBR_Ad_Mayfly_2_SI_1,Aquatic adult,Aquatic adult,Cushing Bridge,CUSHBR,Ephemerellidae,Ephemerellidae Adult,Gatherer-Collector,Primary Consumer,1.017,28-Feb-23,-27.9,7.1,47.9,11.6,4.1
CUSHBR_Ad_Mayfly_2_SI_2,Aquatic adult,Aquatic adult,Cushing Bridge,CUSHBR,Ephemerellidae,Ephemerellidae Adult,Gatherer-Collector,Primary Consumer,1.181,28-Feb-23,-27.1,6.9,50.9,13.2,3.9
CUSHBR_Araneid_SI_1,Spider,Spider,Cushing Bridge,CUSHBR,Araneidae,Araneidae,Predator,Secondary Consumer,1.14,02-Mar-23,-26.5,8.9,48.5,12.6,3.9
CUSHBR_Araneid_SI_3,Spider,Spider,Cushing Bridge,CUSHBR,Araneidae,Araneidae,Predator,Secondary Consumer,1.168,01-Mar-23,-26.4,7.8,48.9,12.6,3.9
CUSHBR_Araneid_SI_2,Spider,Spider,Cushing Bridge,CUSHBR,Araneidae,Araneidae,Predator,Secondary Consumer,1.12,02-Mar-23,-26.5,8.6,48.4,12,4
CUSHBR_Biofilm_SI_1,Biofilm,Basal food source,Cushing Bridge,CUSHBR,Biofilm,Biofilm,Biofilm,Basal food source,3.195,03-Mar-23,-10.5,5.6,6.3,0.3,23.7
CUSHBR_Biofilm_SI_2,Biofilm,Basal food source,Cushing Bridge,CUSHBR,Biofilm,Biofilm,Biofilm,Basal food source,N/A,03-Mar-23,-7.5,3.9,4.55,0.15,34.7
CUSHBR_Biofilm_SI_3,Biofilm,Basal food source,Cushing Bridge,CUSHBR,Biofilm,Biofilm,Biofilm,Basal food source,3.007,03-Mar-23,-7.4,5.8,4.7,0.1,32.4
CUSHBR_Lar_Stonefly_2_SI_1,Aquatic larvae,Aquatic larvae,Cushing Bridge,CUSHBR,Chloroperlidae,Chloroperlidae Larvae,Predator,Secondary Consumer,1.063,28-Feb-23,-29.3,5.8,45.4,6.3,7.2
CUSHBR_Lar_Stonefly_2_SI_2,Aquatic larvae,Aquatic larvae,Cushing Bridge,CUSHBR,Chloroperlidae,Chloroperlidae Larvae,Predator,Secondary Consumer,1.121,28-Feb-23,-29.3,5.3,52.4,7.7,6.8
CUSHBR_Lar_Stonefly_2_SI_3,Aquatic larvae,Aquatic larvae,Cushing Bridge,CUSHBR,Chloroperlidae,Chloroperlidae Larvae,Predator,Secondary Consumer,1.04,01-Mar-23,-29.2,6.6,46.9,7.1,6.6
