SampleName,Stage,Stage_plot,Site,Site_Code,Taxa,Taxa_Specific,FFG,Consumer,Mass,Date,d13C,d15N,%C,%N,C/N
SUNAL_Ad_Chiro_SI_3,Aquatic adult,Aquatic adult,Sunalta,SUN,Chironomidae,Chironomidae Adult,Gatherer-Collector,Primary Consumer,0.859,01-Mar-23,-28.2,10.8,50.4,9.6,5.3
SUNAL_Ad_Hydro_SI_1,Aquatic adult,Aquatic adult,Sunalta,SUN,Hydropsychidae,Hydropsychidae Adult,Filterer-Collector,Primary Consumer,1.015,02-Mar-23,-30.3,8.6,52.2,11.5,4.5
SUNAL_Ad_Hydro_SI_2,Aquatic adult,Aquatic adult,Sunalta,SUN,Hydropsychidae,Hydropsychidae Adult,Filterer-Collector,Primary Consumer,1.084,28-Feb-23,-30.3,8.6,54.6,10.9,5
SUNAL_Ad_Hydro_SI_3,Aquatic adult,Aquatic adult,Sunalta,SUN,Hydropsychidae,Hydropsychidae Adult,Filterer-Collector,Primary Consumer,1.046,01-Mar-23,-30.4,7.7,55.9,10.2,5.5
SUNAL_Ad_Mayfly_2_SI_1,Aquatic adult,Aquatic adult,Sunalta,SUN,Ephemerellidae,Ephemerellidae Adult,Gatherer-Collector,Primary Consumer,1.15,01-Mar-23,-27.7,6.9,49.1,14.6,3.4
SUNAL_Ad_Rhya_SI_1,Aquatic adult,Aquatic adult,Sunalta,SUN,Rhyacophilidae,Rhyacophilidae Adult,Predator,Secondary Consumer,1.121,01-Mar-23,-31.6,8.6,51.6,9.8,5.2
SUNAL_Ad_Rhya_SI_2,Aquatic adult,Aquatic adult,Sunalta,SUN,Rhyacophilidae,Rhyacophilidae Adult,Predator,Secondary Consumer,1.201,02-Mar-23,-33,9.7,54.3,10.1,5.4
SUNAL_Ad_Rhya_SI_3,Aquatic adult,Aquatic adult,Sunalta,SUN,Rhyacophilidae,Rhyacophilidae Adult,Predator,Secondary Consumer,N/A,02-Mar-23,-28.85,8.55,53.8,10.05,5.35
SUNAL_Araneid_SI_1,Spider,Spider,Sunalta,SUN,Araneidae,Araneidae,Predator,Secondary Consumer,N/A,01-Mar-23,-26.95,8.95,46.9,12.45,3.8
SUNAL_Araneid_SI_2,Spider,Spider,Sunalta,SUN,Araneidae,Araneidae,Predator,Secondary Consumer,1.02,28-Feb-23,-28.6,7.8,50.6,11.2,4.5
SUNAL_Araneid_SI_3,Spider,Spider,Sunalta,SUN,Araneidae,Araneidae,Predator,Secondary Consumer,N/A,28-Feb-23,-27.7,8,51.45,11.75,4.35
SUNAL_Biofilm_SI_1,Biofilm,Basal food source,Sunalta,SUN,Biofilm,Biofilm,Biofilm,Basal food source,3.196,03-Mar-23,-16.8,5.3,8.8,0.7,13.5
SUNAL_Biofilm_SI_2,Biofilm,Basal food source,Sunalta,SUN,Biofilm,Biofilm,Biofilm,Basal food source,3.15,03-Mar-23,-12.2,4.9,6.8,0.3,20.4
SUNAL_Biofilm_SI_3,Biofilm,Basal food source,Sunalta,SUN,Biofilm,Biofilm,Biofilm,Basal food source,3.152,03-Mar-23,-25.7,-1.1,37.1,3.4,11
SUNAL_Lar_Mayfly_1_SI_1,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Heptageniidae,Heptageniidae Larvae,Scraper,Primary Consumer,1.02,28-Feb-23,-30.7,6.7,54.1,10.2,5.3
SUNAL_Lar_Mayfly_1_SI_2,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Heptageniidae,Heptageniidae Larvae,Scraper,Primary Consumer,1.038,28-Feb-23,-31.7,6,47.6,6.6,7.2
SUNAL_Lar_Mayfly_1_SI_3,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Heptageniidae,Heptageniidae Larvae,Scraper,Primary Consumer,1.093,28-Feb-23,-31.1,5.8,44,5.9,7.4
SUNAL_Lar_Mayfly_2_SI_1,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Ephemerellidae,Ephemerellidae Larvae,Gatherer-Collector,Primary Consumer,1.046,02-Mar-23,-28.7,5,52,7.8,6.7
SUNAL_Lar_Mayfly_2_SI_2,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Ephemerellidae,Ephemerellidae Larvae,Gatherer-Collector,Primary Consumer,1.183,02-Mar-23,-28.6,5.9,49,9.2,5.3
SUNAL_Lar_Mayfly_2_SI_3,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Ephemerellidae,Ephemerellidae Larvae,Gatherer-Collector,Primary Consumer,1.089,02-Mar-23,-29.1,5.6,44.3,5.8,7.7
SUNAL_Lar_Stonefly_1_SI_1,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Perlidae,Perlidae Larvae,Predator,Secondary Consumer,N/A,28-Feb-23,-29.1,8.65,50.35,10.95,4.6
SUNAL_Lar_Stonefly_1_SI_2,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Perlidae,Perlidae Larvae,Predator,Secondary Consumer,1.044,01-Mar-23,-28.3,9,54.4,12.2,4.5
SUNAL_Lar_Stonefly_1_SI_3,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Perlidae,Perlidae Larvae,Predator,Secondary Consumer,N/A,28-Feb-23,-29.25,8.35,56.35,11.25,5
SUNAL_Lar_Stonefly_2_SI_1,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Chloroperlidae,Chloroperlidae Larvae,Predator,Secondary Consumer,1.127,02-Mar-23,-28.5,7,48.2,9.5,5.1
SUNAL_Lar_Stonefly_2_SI_2,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Chloroperlidae,Chloroperlidae Larvae,Predator,Secondary Consumer,1.099,01-Mar-23,-29,6.8,51.6,9.3,5.6
SUNAL_Lar_Stonefly_2_SI_3,Aquatic larvae,Aquatic larvae,Sunalta,SUN,Chloroperlidae,Chloroperlidae Larvae,Predator,Secondary Consumer,1.131,28-Feb-23,-28.3,6.4,57.1,9.8,5.8
SUNAL_Lepidop_SI_1,Terrestrial adult,Terrestrial adult,Sunalta,SUN,Lepidoptera,Lepidoptera Adult,Piercer,Primary Consumer,1.16,01-Mar-23,-30.2,5.1,59.8,8.7,6.9
SUNAL_Lepidop_SI_2,Terrestrial adult,Terrestrial adult,Sunalta,SUN,Lepidoptera,Lepidoptera Adult,Piercer,Primary Consumer,1.041,01-Mar-23,-28.3,7.1,59,8.8,6.7
SUNAL_Lepidop_SI_3,Terrestrial adult,Terrestrial adult,Sunalta,SUN,Lepidoptera,Lepidoptera Adult,Piercer,Primary Consumer,0.98,01-Mar-23,-30.2,6.9,52,12.5,4.2
SUNAL_SHRUB_SI_1,Terrestrial leaves,Basal food source,Sunalta,SUN,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,3.152,03-Mar-23,-28.8,1.9,50.1,2.2,22.9
SUNAL_SHRUB_SI_2,Terrestrial leaves,Basal food source,Sunalta,SUN,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,3.172,03-Mar-23,-27.5,1.6,50.7,2.4,21.4
SUNAL_SHRUB_SI_3,Terrestrial leaves,Basal food source,Sunalta,SUN,Terrestrial Leaves,Terrestrial Leaves,Terrestrial Leaves,Basal food source,3.05,03-Mar-23,-28.9,5.7,50,2.1,23.5
SUNAL_Tetragnatha_SI_1,Spider,Spider,Sunalta,SUN,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,N/A,28-Feb-23,-28.4,9.15,53.75,11.85,4.55
SUNAL_Tetragnatha_SI_2,Spider,Spider,Sunalta,SUN,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,1.005,28-Feb-23,-26.9,7.6,47,11.2,4.2
SUNAL_Tetragnatha_SI_3,Spider,Spider,Sunalta,SUN,Tetragnathidae,Tetragnathidae,Predator,Secondary Consumer,1.104,02-Mar-23,-26.7,9.7,49,12.6,3.9
